公司名稱,網址,標籤資訊,品牌名稱,主要產品,攤位號碼
1NCE / SoftBank,https://www.computextaipei.com.tw/zh-tw/exhibitor/4EF8F9DFC9DAB3479FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=1,"EdgeComputing, Embedded, SmartCity, SmartHome, SmartRetail","1NCE IoT Lifetime Flat,,","其他網通產品,工業物聯網平台,工業物聯網解決方案",
AIO Europe BV,https://www.computextaipei.com.tw/zh-tw/exhibitor/3A00D5F6B3869ED1B3E853C15EA402C6D0636733C6861689/info.html?lt=data&vt=show-area&cr=5,"Edge, Gaming",AIO,"電腦機殼,電腦電源,電腦散熱裝置及風扇,其他電腦零組件,電腦鍵盤,滑鼠,藍牙鍵盤及滑鼠,水冷式散熱系統",
"APOLLO ELECTRONICS CO., LTD.",https://www.computextaipei.com.tw/zh-tw/exhibitor/D16DC8C5E8AD27D66AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=9,SmartRetail,,"壓電材料,讀卡機,記憶卡,行動 POS,POS 配件,電腦線材及連接器",
ARCTIC (HK) Ltd.,https://www.computextaipei.com.tw/zh-tw/exhibitor/742C9A5CD320FF9CCAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=11,,,"桌上型電腦,電腦散熱裝置及風扇,水冷式散熱系統",
ARKTEK Technology,https://www.computextaipei.com.tw/zh-tw/exhibitor/1FFD553171378A138608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=12,"Gaming, VR",ARKTEK,"個人電腦主機板,電腦機殼,電腦電源,固態硬碟,顯示卡,動態隨機存取記憶體",
AWS,https://www.computextaipei.com.tw/zh-tw/exhibitor/C95BC0C213DE47A216AFB4F356442538D0636733C6861689/info.html?lt=data&vt=show-area&cr=13,"Cloud, DataCenter, Edge, GenerativeAI, Semiconductor",,"Cloud,資料中心 / 雲端服務供應商,AI,Generative AI,Security,Data",
Aivres Systems Inc.,https://www.computextaipei.com.tw/zh-tw/exhibitor/3D09A6817FE4D541B3E853C15EA402C6D0636733C6861689/info.html?lt=data&vt=show-area&cr=18,"BigData, Cloud, DataCenter, Edge, GenerativeAI",",,","伺服器,電競手機,AI 伺服器 ,AI 氣冷/水冷/液冷散熱系統,中央處理器 /圖形處理器/加速處理器",
Alphacool International GmbH,https://www.computextaipei.com.tw/zh-tw/exhibitor/EA2F091692067F63CAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=20,"BigData, Cloud, DataCenter, Embedded, QuantumComputing",Alphacool,"伺服器,電腦散熱裝置及風扇,AI 氣冷/水冷/液冷散熱系統,AI 伺服器",
Aroot,https://www.computextaipei.com.tw/zh-tw/exhibitor/FE5E1BA25235CEEEC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=23,"SmartCity, SmartRetail",SEWOO,"銷售點管理系統,多媒體機台,條碼讀取機,POS 印表機,條碼列印機,POS 配件,POS PC",
Briocean Singapore Pte Ltd,https://www.computextaipei.com.tw/zh-tw/exhibitor/742C9A5CD320FF9C9FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=28,"AutonomousVehicles, EnergyStorage, Evs, Semiconductor, SmartCar",,"其他感測器,微控制器,其他電腦零組件,動態隨機存取記憶體,汽車感測器,感測器,電子連接器",
COMINO,https://www.computextaipei.com.tw/zh-tw/exhibitor/1790D4A66BCCB79DB3E853C15EA402C6D0636733C6861689/info.html?lt=data&vt=show-area&cr=30,"BigData, DataCenter, GenerativeAI",Comino Grando AI INFERENCE server,AI 伺服器,
COMPUTEX TAIPEI,https://www.computextaipei.com.tw/zh-tw/exhibitor/BE2DE0C2546C176FE3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=31,,COMPUTEX,COMPUTEX,
CUDY INTERNATIONAL LIMITED,https://www.computextaipei.com.tw/zh-tw/exhibitor/14366B8840ED7DA40ED9BBB8CFEA711ED0636733C6861689/info.html?lt=data&vt=show-area&cr=32,"Edge, Gaming, SmartHome",Cudy,"數據機,路由器,網路集線器,媒體轉換器,無線存取點 / 橋接器,網路交換器,網路卡,其他網通產品",
Cooling Sp. z o.o.,https://www.computextaipei.com.tw/zh-tw/exhibitor/C5EAEAC3F53351C86AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=39,Gaming,ENDORFY,"電腦機殼,電腦散熱裝置及風扇,電競耳機/耳機麥克風/麥克風,電競其他週邊,電競鍵盤,水冷式散熱系統,電競滑鼠",
DEEPX,https://www.computextaipei.com.tw/zh-tw/exhibitor/54B9B8425587780D6AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=41,"Edge, Embedded, Semiconductor, SmartCity, SmartRetail",,嵌入式處理器,
"Engineered Fluids, Inc.",https://www.computextaipei.com.tw/zh-tw/exhibitor/3D09A6817FE4D541E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=54,"DataCenter, EV, Edge, EnergyStorage, Semiconductor","Engineered Fluids,ElectroCool Dielectric Coolant,AmpCool Dielectric Coolant","伺服器,其他特殊電腦系統,區塊鏈服務,電動車電池及充電站,浸沒式冷卻,水冷式散熱系統,AI 氣冷/水冷/液冷散熱系統,邊緣運算",
Essencore Limited,https://www.computextaipei.com.tw/zh-tw/exhibitor/96B6585DBEA32AF96AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=55,"DataCenter, Embedded, Gaming, GenerativeAI, Semiconductor",KLEVV,"固態硬碟,外接硬碟,動態隨機存取記憶體,工業用記憶體",
Fibocom Wireless Inc.,https://www.computextaipei.com.tw/zh-tw/exhibitor/DBF4C3673962984BCAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=59,5G&Beyond,,無線廣域通訊介面卡/模組,
"GUANG DONG SOHOO TECHNOLOGY CO.,LTD",https://www.computextaipei.com.tw/zh-tw/exhibitor/38B998DFAA037764C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=65,Gaming,,"不斷電系統,電源適配器",
GenixLinks บริษัท จีนิกซ์ลิ้งส์ จำก,https://www.computextaipei.com.tw/zh-tw/exhibitor/F5FDE912FB12A5356AA20250577E85F3D0636733C6861689/info.html?lt=data&vt=show-area&cr=68,,,"KVM線材及切換器,USB介面轉接頭、線材及集線器",
Geometric Future,https://www.computextaipei.com.tw/zh-tw/exhibitor/EDD4CE2AE1E9A851CAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=69,Gaming,Geometric Future,電腦機殼,
"HDMI Licensing Administrator, Inc.",https://www.computextaipei.com.tw/zh-tw/exhibitor/F3F1397BDF3CC6338608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=71,Gaming,,HDMI,
Hanmi Micronics (WIZMAX),https://www.computextaipei.com.tw/zh-tw/exhibitor/D69E60C54E34209EEBAFA644770A47EED0636733C6861689/info.html?lt=data&vt=show-area&cr=74,Gaming,WIZMAX,"電腦機殼,電腦電源,電腦散熱裝置及風扇,電競鍵盤,電競滑鼠,電競耳機/耳機麥克風/麥克風,水冷式散熱系統",
IMU Inc,https://www.computextaipei.com.tw/zh-tw/exhibitor/B04B0706AE721386B3E853C15EA402C6D0636733C6861689/info.html?lt=data&vt=show-area&cr=77,SmartRetail,"IMU, P2C",銷售點管理系統,
Imin Technology Pte Ltd,https://www.computextaipei.com.tw/zh-tw/exhibitor/210CBBC27668A26FCAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=81,GenerativeAI,Imin,"銷售點管理系統,POS PC",
Innatera Nanosystems B.V,https://www.computextaipei.com.tw/zh-tw/exhibitor/742C9A5CD320FF9C0ED9BBB8CFEA711ED0636733C6861689/info.html?lt=data&vt=show-area&cr=82,"Edge, Embedded, Semiconductor, SmartCity, SmartHome",,SNP T1,
